"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 12:15:46 GMT 2023","Sun Aug 13 12:15:50 GMT 2023","3565","tests","test_elements","TestElements","","","Search person",""
"passed","Sun Aug 13 12:15:32 GMT 2023","Sun Aug 13 12:15:34 GMT 2023","2129","tests","test_elements","TestElements","","","Test radio buttons",""
"passed","Sun Aug 13 12:15:39 GMT 2023","Sun Aug 13 12:15:45 GMT 2023","6347","tests","test_elements","TestElements","","","Create new person",""
"passed","Sun Aug 13 12:15:10 GMT 2023","Sun Aug 13 12:15:16 GMT 2023","5892","tests","test_elements","TestElements","","","Interactivity of the fields",""
"passed","Sun Aug 13 12:15:57 GMT 2023","Sun Aug 13 12:16:01 GMT 2023","4198","tests","test_elements","TestElements","","","Delete person",""
"passed","Sun Aug 13 12:15:05 GMT 2023","Sun Aug 13 12:15:08 GMT 2023","3335","tests","test_elements","TestElements","","","Check input == output",""
"passed","Sun Aug 13 12:15:51 GMT 2023","Sun Aug 13 12:15:56 GMT 2023","4317","tests","test_elements","TestElements","","","Edit person",""
"passed","Sun Aug 13 12:15:27 GMT 2023","Sun Aug 13 12:15:30 GMT 2023","2896","tests","test_elements","TestElements","","","Test radio buttons",""
"passed","Sun Aug 13 12:15:22 GMT 2023","Sun Aug 13 12:15:26 GMT 2023","3888","tests","test_elements","TestElements","","","Test checkboxes: random click and output",""
"passed","Sun Aug 13 12:15:35 GMT 2023","Sun Aug 13 12:15:37 GMT 2023","2199","tests","test_elements","TestElements","","","Test radio buttons",""
"skipped","Sun Aug 13 12:16:03 GMT 2023","Sun Aug 13 12:16:05 GMT 2023","2713","tests","test_elements","TestElements","","","Check count of rows",""
"passed","Sun Aug 13 12:16:07 GMT 2023","Sun Aug 13 12:16:10 GMT 2023","2686","tests","test_elements","TestElements","","","Different clicks on buttons",""
"passed","Sun Aug 13 12:15:17 GMT 2023","Sun Aug 13 12:15:21 GMT 2023","3633","tests","test_elements","TestElements","","","Test expanding all elements and check their presence",""
